 TIME                    	EnergyPvKw               	EnergyHeatingKw          	SolaRadiationKw          	AmbianTemperature        	ZoneTemperature          	HeaterTemperature        	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.1000000000000001E+00	  +8.0000000000000000E+00	  +2.0000000000000000E+01	
  +1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.9500000000000002E+00	  +7.8316519793944099E+00	  +4.9551726365041588E+00	
  +2.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.7000000000000011E+00	  +8.0392073292856754E+00	  +8.0867619160840007E+00	
  +3.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.5000000000000000E+00	  +8.2109938871906039E+00	  +7.9857394120267564E+00	
  +4.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.2500000000000000E+00	  +8.1013215923473929E+00	  +7.8356895249664049E+00	
  +5.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+00	  +8.1290424658348854E+00	  +7.6837154835754582E+00	
  +6.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.8000000000000007E+00	  +8.0834709222838690E+00	  +7.6198071347055389E+00	
  +7.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.5500000000000007E+00	  +8.0742936888811503E+00	  +7.5053454788111544E+00	
  +8.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.3000000000000007E+00	  +8.0399223660379011E+00	  +7.3879990274598768E+00	
  +9.0000000000000000E+00	  +1.3044582495219049E-02	  +9.9559596818874740E-01	  +1.5000012000000000E-02	  +8.5500000000000007E+00	  +8.0630622258289790E+00	  +2.3000000000000000E+01	
  +1.0000000000000000E+01	  +7.6890929987153925E-02	  +9.6817823977617268E-01	  +5.3000042400000003E-02	  +9.3000000000000007E+00	  +8.1656907836509873E+00	  +2.3000000000000000E+01	
  +1.1000000000000000E+01	  +1.4207749968915143E-01	  +9.3902574037560671E-01	  +9.4000075200000019E-02	  +1.0100000000000001E+01	  +8.3030952977826935E+00	  +2.3000000000000000E+01	
  +1.2000000000000000E+01	  +2.3912749152917057E-01	  +9.0233574889042434E-01	  +1.6300013040000003E-01	  +1.1100000000000001E+01	  +8.5018404045532598E+00	  +2.3000000000000000E+01	
  +1.3000000000000000E+01	  +2.5303429259771387E-01	  +0.0000000000000000E+00	  +1.7400013919999999E-01	  +1.2100000000000001E+01	  +8.6973727266858969E+00	  +9.5653481701457466E+00	
